Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
1,West Humber-Clairville,,359,400,341,372,351,345,411,390,114.4,31,-5.10%,
2,Mount Olive-Silverstone-Jamestown,,417,339,366,356,334,329,337,316,96.4,42,-6.20%,
3,Thistletown-Beaumond Heights,,70,67,55,55,80,83,57,85,84,52,49.10%,
4,Rexdale-Kipling,,69,91,70,81,54,66,76,59,56.3,94,-22.40%,
5,Elms-Old Rexdale,,64,65,81,76,66,89,68,77,80.7,60,13.20%,
6,Kingsview Village-The Westway,,148,122,182,155,137,160,163,134,61.6,87,-17.80%,
7,Willowridge-Martingrove-Richview,,107.00%,110,125,123,113,111,97,131,61.4,88,35.10%,
8,Humber Heights-Westmount,,46,25,41,53,44,47,40,41,38.8,112,2.50%,
9,Edenbridge-Humber Valley,,39,41,44,61,56,65,42,57,38.3,114,35.70%,
10,Princess-Rosethorn,,24,23,28,38,21,19,31,48,43,106,54.80%,
11,Eringate-Centennial-West Deane,,81,89,90,54,71,75,68,58,30.8,125,-14.70%,
12,Markland Woods,,26,27,42,38,40,24,37,42,40.3,111,13.50%,
13,Etobicoke West Mall,,60,65,61,50,80,67,71,73,66.8,79,2.80%,
14,Islington-City Centre West,,298,285,304,306,261,319,274,268,70.4,74,-2.20%,
15,Kingsway South,,28,35,23,34,22,45,36,37,40.4,110,2.80%,
16,Stonegate-Queensway,,116,122,131,128,119,148,122,131,53.1,97,7.40%,
17,Mimico,,251,237,238,221,92,204,205,201,75.6,68,-2%,
18,New Toronto,,147,169,197,174,175,137,157,137,125.7,20,-12.70%,
19,Long Branch,,73,120,104,119,102,103,99,78,81,59,-21.20%,
20,Alderwood,,75,61,73,55,68,76,57,49,41.2,107,-14.00%,
21,Humber Summit,,103,155,159,123,146,4,102,98,78.1,65,-3.90%,
22,Humbermede,,176,127,169,184,156,147,146,131,82.6,56,-10.30%,
23,Pelmo Park-Humberlea,,71,80,101,88,66,66,80,63,72.1,70,-21.30%,
24,Black Creek,,278,378,334,344,345,328,219,242,109.9,34,10.50%,
25,Glenfield-Jane Heights,,416,453,429,392,418,396,345,299,95.2,45,-13.30%,
26,Downsview-Roding-CFB,,416,490,517,414,488,412,398,402,116,27,1.00%,
27,York University Heights,,339,379,419,370,364,4,305,282,101.7,40,-7.50%,
28,Rustic,,144,151,119,106,108,94,80,86,86.7,51,7.50%,
29,Maple Leaf,,51,54,54,47,52,57,60,37,36.3,117,-38.30%,
30,Brookhaven-Amesbury,,225,157,177,168,154,143,175,143,80.5,62,-18.30%,
31,Yorkdale-Glen Park,,202,223,175,210,185,157,186,181,123.1,22,-2.70%,
32,Englemount-Lawrence,,140,131,162,166,153,163,146,147,66.5,80,0.70%,
33,Clanton Park,,100,99,102,96,101,121,90,121,82.8,55,34.40%,
34,Bathurst Manor,,77,113,73,87,76,63,78,56,36.3,118,-28.20%,
35,Westminster-Branson,,118,162,114,116,104,95,129,128,50.4,100,-0.80%,
36,Newtonbrook West,,128,129,166,191,174,183,203,140,60.7,89,-31.00%,
37,Willowdale West,,58,82,64,68,93,106,90,85,56.7,93,-5.60%,
38,Lansing-Westgate,,69,55,57,77,81,63,63,70,47.9,102,11.10%,
39,Bedford Park-Nortown,,60,58,65,74,68,63,51,71,30.5,126,39.20%,
40,St.Andrew-Windfields,,71,68,65,52,73,50,55,63,35.1,121,14.50%,
41,Bridle Path-Sunnybrook-York Mills,,24,12,19,26,22,17,16,16,18.4,139,0%,
42,Banbury-Don Mills,,94,99,86,98,100,81,96,97,36.1,119,1.00%,
43,Victoria Village,,100,139,126,108,120,87,126,107,62.1,85,-15.10%,
44,Flemingdon Park,,157,170,160,175,223,215,145,159,71.6,72,9.70%,
45,Parkwoods-Donalda,,202,222,211,216,212,212,207,177,51,99,-14.50%,
46,Pleasant View,,36,68,62,72,62,57,42,44,27.2,129,4.80%,
47,Don Valley Village,,179,155,214,163,160,175,139,174,65.1,82,25.20%,
48,Hillcrest Village,,57,78,86,79,92,54,62,50,28.3,128,-19.40%,
49,Bayview Woods-Steeles,,32,41,31,25,33,41,30,25,18.4,138,-16.70%,
50,Newtonbrook East,,67,62,75,68,60,59,93,114,69.4,76,22.60%,
51,Willowdale East,,142,145,61,138,137,165,173,201,44.6,105,16.20%,
52,Bayview Village,,58,65,74,77,59,67,57,42,23.8,132,-26.30%,
53,Henry Farm,,40,41,40,57,29,47,36,39,34.4,122,8.30%,
54,O'Connor-Parkview,,155,182,160,184,227,173,231,264,143.9,12,14.30%,
55,Thorncliffe Park,,96,140,158,132,152,111,121,130,67.4,78,7.40%,
56,Leaside-Bennington,,47,40,56,41,32,45,52,40,23.6,133,-23.10%,
57,Broadview North,,104,91,96,136,119,112,107,106,91.7,48,-0.90%,
58,Old East York,,83,80,68,71,68,62,72,55,60.3,90,-23.60%,
59,Danforth Village - East York,,91,96,82,98,85,104,103,82,49.1,101,-20.40%,
60,Woodbine-Lumsden,,47,62,66,79,48,52,55,60,76.8,67,9.10%,
61,Crescent Town,,163,189,179,180,185,201,206,187,119.8,24,-9.20%,
62,East End-Danforth,,246,252,278,310,253,253,259,252,121,23,-2.70%,
63,The Beaches,,129,113,130,125,144,138,136,114,54,95,-16.20%,
64,Woodbine Corridor,,130,130,137,139,125,138,119,139,118.8,25,16.80%,
65,Greenwood-Coxwell,,191,302,234,219,199,188,193,183,130.2,16,-5.20%,
66,Danforth Village - Toronto,,140,145,144,149,149,154,133,121,128.2,17,-9.00%,
67,Playter Estates-Danforth,,65,75,67,77,91,86,86,62,81.1,58,-27.90%,
68,North Riverdale,,307,317,249,182,155,209,278,227,186.7,6,-18.30%,
69,Blake-Jones,,118,111,136,110,134,125,91,108,139.1,13,18.70%,
70,South Riverdale,,396,376,408,377,393,328,276,276,107.6,35,0,
71,Cabbagetown-South St.James Town,,139,147,152,164,98,133,106,84,69.7,75,-20.80%,
72,Regent Park,,156,128,173,145,132,150,120,116,116,28,-3.30%,
73,Moss Park,,376,399,443,460,372,358,418,371,227.7,2,-11.20%,
74,North St.James Town,,186,205,236,193,138,169,177,123,69.1,77,-30.50%,
75,Church-Yonge Corridor,,518,456,483,505,447,471,498,535,188.6,5,7.40%,
76,Bay Street Corridor,,566,569,453,549,544,480,478,554,285.9,1,15.90%,
77,Waterfront Communities-The Island,,793,764,827,883,815,780,816,892,206,3,9.30%,
78,Kensington-Chinatown,,395,403,395,396,329,351,363,369,199.5,4,1.70%,
79,University,,163,149,158,147,134,118,119,131,169,8,10.10%,
80,Palmerston-Little Italy,,116,165,145,115,98,115,115,123,89.7,50,7.00%,
81,Trinity-Bellwoods,54,216,196,159,177,186,213,196,165,98.2,41,-15.80%,
82,Niagara,,113,150,166,202,141,208,211,241,114.8,30,14.20%,
83,Dufferin Grove,,205,217,156,165,136,142,144,146,127.4,19,1.40%,
84,Little Portugal,,126,95,107,127,138,127,125,137,113.1,33,9.60%,
85,South Parkdale,,328,331,312,309,330,335,392,333,156.6,9,-15.10%,
86,Roncesvalles,,242,233,211,183,200,144,161,192,127.7,18,19.30%,
87,High Park-Swansea,,115,131,105,126,120,126,105,103,47.4,103,-1.90%,
88,High Park North,,124,143,129,153,140,102,143,125,58.7,91,-12.60%,
89,Runnymede-Bloor West Village,,73,98,98,54,57,62,43,69,71.6,71,60.50%,
90,Junction Area,,64,146,188,188,181,134,175,143,102.1,39,-18.30%,
91,Weston-Pellam Park,,137,133,117,141,139,108,110,125,104,37,13.60%,
92,Corsa Italia-Davenport,,175,177,178,192,134,104,157,127,92.3,47,-19.10%,
93,Dovercourt-Wallace Emerson-Juncti,,473,429,445,409,344,418,345,275,79.3,63,-20.30%,
94,Wychwood,,144,173,120,117,71,87,87,91,65,83,4.60%,
95,Annex,,352,275,277,275,349,292,261,272,93.3,46,4.20%,
96,Casa Loma,,40,57,45,36,44,30,20,33,31.5,124,65.00%,
97,Yonge-St.Clair,,36,39,7,27,46,37,43,27,23.1,134,-37.20%,
98,Rosedale-Moore Park,,99,128,88,99,108,85,85,85,41.2,108,0,
99,Mount Pleasant East,,58,65,58,54,68,51,56,51,32,123,-8.90%,
100,Yonge-Eglinton,,91,89,96,71,121,90,79,69,65.2,81,-12.70%,
101,Forest Hill South,,12,37,26,36,27,29,15,19,17.4,140,26.70%,
102,Forest Hill North,,36,43,53,54,31,50,52,48,38.5,113,-7.70%,
103,Lawrence Park South,,33,34,41,53,41,33,22,30,19.9,137,36.40%,
104,Mount Pleasant West,,118,142,181,169,153,156,143,164,57.3,92,14.70%,
105,Lawrence Park North,,50,44,31,26,32,44,23,33,22.7,135,43.50%,
106,Humewood-Cedarvale,,78,81,68,71,56,53,52,72,51.1,98,38.50%,
107,Oakwood-Vaughan,,236,267,225,151,173,189,175,165,78.2,64,-5.70%,
108,Briar Hill-Belgravia,,158,127,161,124,130,103,124,115,80.7,61,-7.30%,
109,Caledonia-Fairbanks,,78,91,87,98,69,97,72,94,95.4,43,30.60%,
110,Keelesdale-Eglinton West,,127,142,139,191,111,103,109,125,117.3,26,14.70%,
111,Rockcliffe-Smythe,,200,194,170,214,185,157,174,182,81.7,57,4.60%,
112,Beechborough-Greenbrook,,81,69,83,102,76,64,102,116,178.7,7,13.70%,
113,Weston,,280,266,265,270,250,249,267,278,153,10,4.10%,
114,Lambton Baby Point,,43,39,56,41,66,34,35,28,35.5,120,-20.00%,
115,Mount Dennis,,192,187,165,158,160,105,145,135,102.7,38,-6.90%,
116,Steeles,,71,61,50,61,52,63,37,51,20.4,136,37.80%,
117,L'Amoreaux,,227,187,172,172,150,151,124,116,25.8,130,-6.50%,
118,Tam O'Shanter-Sullivan,,142,123,130,146,146,123,107,112,41,109,4.70%,
119,Wexford/Maryvale,,254,240,238,210,208,264,212,307,113.5,32,44.80%,
120,Clairlea-Birchmount,,273,289,267,251,215,240,257,285,115.2,29,10.90%,
121,Oakridge,,156,187,169,141,166,212,185,169,125.2,21,-8.60%,
122,Birchcliffe-Cliffside,,237,212,238,208,209,176,149,208,95.3,44,39.60%,
123,Cliffcrest,,150,142,157,138,123,130,120,131,83.3,53,9.20%,
124,Kennedy Park,,204,212,215,208,162,200,208,225,131.7,15,8.20%,
125,Ionview,,125,144,102,102,125,142,122,81,62.1,86,-33.60%,
126,Dorset Park,,219,239,239,223,191,210,194,179,73.4,69,-7.70%,
127,Bendale,,202,242,235,241,242,260,247,232,83.3,54,-6.10%,
128,Agincourt South-Malvern West,,114,121,146,152,125,122,147,141,64.2,84,-4.10%,
