id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9132704,Living Room in apartment North York,47567573,Chelson,,York University Heights,43.7620565539662,-79.4998673471988,Private room,30,1,2,2016-01-31,0.12,1,0
6832028,(4) Cozy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76906851278992,-79.49913881836751,Private room,39,2,10,2017-04-14,0.45,8,272
14596547,Private room beside york uni,44098156,Jay,,York University Heights,43.767794031682044,-79.50139571257495,Private room,50,1,3,2017-05-18,0.32,5,365
8235594,"2 Bed + Den, 2 Bath TOWNHOUSE with ROOFTOP #00026",12742095,Emil & Heather,,York University Heights,43.76548043189837,-79.49671159598898,Entire home/apt,178,2,5,2017-04-04,0.31,23,365
9052835,Furnished Apartment Toronto,47232657,S M Fawaad,,York University Heights,43.76555816688828,-79.50430042902904,Entire home/apt,45,1,0,,,1,0
10772078,Sweet Home---Entire One Bedroom Apt (Walkout Bsmt),45436801,Wendy,,York University Heights,43.764801645225965,-79.49167329482556,Entire home/apt,35,2,12,2017-05-19,2.34,1,10
15888115,1 bedroom and office appartment at Subway station,103039584,Ella,,York University Heights,43.75081944987002,-79.46530376833378,Entire home/apt,59,2,5,2017-05-31,0.91,1,2
9842943,Cozy and convenient - with parking!,50683042,Margaret,,York University Heights,43.75032736719407,-79.46490840651518,Entire home/apt,70,3,1,2015-12-27,0.06,1,0
15790625,Cozy Condo Near Subway and Major Highways,102150863,Tara,,York University Heights,43.752664188775306,-79.46592031912914,Entire home/apt,99,2,7,2017-02-15,1.11,1,0
8238835,"Cozy Bedroom + Ensuite @ York University, Toronto",30753730,Jeishan,,York University Heights,43.76873969369485,-79.50225350507178,Private room,39,2,17,2017-05-19,0.81,5,307
18415023,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76624626839441,-79.50432896035359,Private room,28,1,3,2017-05-31,3,10,345
5923285,"Snug BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.768397326811154,-79.50080737491095,Private room,41,2,11,2017-05-31,0.42,5,14
18700196,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.767021736773124,-79.49625020462356,Private room,38,1,4,2017-05-29,4,10,338
